customerID,Churn
8469-SNFFH,No
2144-ESWKO,No
1241-FPMOF,No
9928-BZVLZ,No
4114-QMKVN,No
2775-SEFEE,No
9003-CPATH,No
1754-GKYPY,No
5294-CDGWY,Yes
7956-XQWGU,No
1591-MQJTP,No
5295-PCJOO,Yes
2369-FEVNO,No
9863-JZAIC,Yes
7471-MQPOS,No
7660-HDPJV,Yes
5115-SQAAU,No
9845-QOMAD,No
7672-VFMXZ,No
9739-JLPQJ,No
9916-AYHTC,No
3855-ONCAR,No
1488-SYSFC,No
7931-PXHFC,Yes
3990-QYKBE,Yes
0970-QXPXW,No
3259-KNMRR,No
6120-RJKLU,No
9572-WUKSB,No
5893-KCLGT,No
0076-LVEPS,No
3640-JQGJG,No
4919-MOAVT,Yes
1596-OQSPS,No
9867-XOBQA,No
9546-KDTRB,No
3090-HAWSU,Yes
9820-RMCQV,Yes
3174-RKMOW,No
1760-CAZHT,No
7839-QRKXN,Yes
8441-SHIPE,No
5204-QZXPU,Yes
4597-ELFTS,Yes
1320-GVNHT,No
1047-RNXZV,No
3541-ZNUHK,No
8450-JOVAH,Yes
8725-JEDFD,No
7562-UXTPG,No
8071-SBTRN,No
1113-IUJYX,Yes
6668-CNMFP,No
5626-MGTUK,No
5681-LLOEI,No
8212-DJRCH,No
4323-OHFOW,No
4933-BSAIP,No
2030-BTZRO,No
1116-DXXDF,No
9274-CNFMO,Yes
7758-XKCBS,Yes
8992-JQYUN,Yes
6563-VNPMN,No
0617-AQNWT,Yes
2267-WTPYD,No
0270-THENM,No
2446-PLQVO,Yes
4707-MAXGU,No
2710-WYVXG,No
3005-NFMTA,Yes
6300-BWMJX,No
8784-CGILN,Yes
5389-FFVKB,Yes
7009-LGECI,No
8444-WRIDW,Yes
5022-KVDQT,No
7976-CICYS,No
1036-GUDCL,No
2005-DWQZJ,No
8148-WOCMK,No
7815-PDTHL,No
9451-LPGOO,Yes
9173-IVZVP,No
9129-UXERG,No
3635-JBPSG,No
7964-ZRKKG,No
5868-YWPDW,Yes
6229-LSCKB,No
2025-JKFWI,Yes
4078-SAYYN,Yes
1724-IQWNM,No
8217-QYOHV,No
5546-QUERU,No
9940-HPQPG,Yes
6897-UUBNU,No
6127-IYJOZ,No
6618-RYATB,Yes
8930-XOTDP,No
5916-QEWPT,No
5060-TQUQN,No
0531-XBKMM,No
8465-SBRXP,No
2408-PSJVE,No
9079-YEXQJ,Yes
9700-ZCLOT,No
8738-JOKAR,No
4534-WGCIR,No
1930-WNXSB,No
2685-SREOM,Yes
3508-CFVZL,No
0402-CQAJN,Yes
6692-UDPJC,Yes
1273-MTETI,Yes
0657-DOGUM,No
5480-HPRRX,Yes
8792-AOROI,No
0295-PPHDO,Yes
5146-YYFRZ,No
1195-OIYEJ,Yes
5906-CVLHP,Yes
3452-SRFEG,No
4070-OKWVH,No
5297-MDOIR,No
6369-MCAKO,No
4926-UMJZD,No
6848-HJTXY,No
6341-AEVKX,No
4501-EQDRN,Yes
2990-HWIML,Yes
0682-USIXD,No
6976-BWGLQ,No
7078-NVFAM,No
8065-QBYTO,No
2133-TSRRM,No
7384-GHBPI,Yes
7603-USHJS,Yes
7234-FECYN,Yes
2511-ALLCS,No
3191-CSNMG,No
7952-OBOYL,No
7470-DYNOE,No
7853-OETYL,No
1545-ACTAS,No
5876-HZVZM,Yes
1400-MMYXY,Yes
5126-RCXYW,No
3085-QUOZK,Yes
2363-BJLSL,No
1956-YIFGE,No
3926-CUQZX,Yes
7921-LMDFQ,No
2925-MXLSX,No
5820-PTRYM,No
9609-BENEA,No
6211-WHMYA,No
4459-BBGHE,No
9945-PSVIP,No
1041-RXHRA,Yes
1750-CSKKM,Yes
9108-EJFJP,No
0530-IJVDB,No
0508-SQWPL,No
2215-ZAFGX,No
8213-TAZPM,No
7142-HVGBG,Yes
1304-SEGFY,No
7242-EDTYC,No
2904-GGUAZ,No
8267-ZNYVZ,Yes
5136-GFPMB,No
2595-KIWPV,No
5243-SAOTC,No
9398-MMQTO,No
7619-PLRLP,No
6457-GIRWB,Yes
6508-NJYRO,No
1450-SKCVI,Yes
4710-NKCAW,No
5306-BVTKJ,No
0357-NVCRI,No
5570-PTWEH,Yes
2371-KFUOG,No
0463-ZSDNT,No
6502-MJQAE,Yes
6257-DTAYD,No
4616-ULAOA,No
7693-LCKZL,Yes
7746-AWNQW,No
5996-EBTKM,No
2758-RNWXS,No
2314-TNDJQ,No
2405-LBMUW,No
3454-JFUBC,No
0032-PGELS,Yes
9039-ZVJDC,No
6797-LNAQX,Yes
9013-AQORL,No
2898-MRKPI,No
2750-BJLSB,No
3648-GZPHF,No
2075-RMJIK,No
9588-YRFHY,No
6394-MFYNG,Yes
1564-NTYXF,Yes
9364-YKUVW,No
5392-AKEMH,No
2451-YMUXS,No
3914-FDRHP,No
3078-ZKNTS,No
1024-KPRBB,No
4690-PKDQG,No
8155-IBNHG,Yes
0886-QGENL,Yes
9547-ITEFG,No
1264-FUHCX,No
7789-CRUVC,No
6598-KELSS,No
8739-WWKDU,Yes
8685-WHQPW,Yes
4745-LSPLO,Yes
8083-YTZES,Yes
7240-FQLHE,Yes
6664-FPDAC,Yes
9972-VAFJJ,No
0422-UXFAP,No
1904-WAJAA,No
5130-YPIRV,No
2843-CQMEG,No
6439-PKTRR,No
5351-QESIO,No
0786-VSSUD,Yes
5568-DMXZS,No
8468-FZTOE,No
6633-SYEUS,No
6447-GORXK,No
6967-PEJLL,No
3976-BWUCK,Yes
5981-ZVXOT,No
1684-FLBGS,No
1389-WNUIB,No
0376-OIWME,No
3585-ISXZP,Yes
0218-QNVAS,No
6583-QGCSI,Yes
0804-YGEQV,No
7164-BPTUT,No
4174-LPGTI,Yes
2523-EWWZL,No
0928-XUTSN,No
2108-XWMPY,Yes
0052-YNYOT,No
6304-IJFSQ,Yes
9586-JGQKH,No
4501-VCPFK,No
6075-SLNIL,No
9347-AERRL,No
0093-XWZFY,Yes
2274-XUATA,No
1980-KXVPM,Yes
7703-ZEKEF,Yes
0723-DRCLG,Yes
5482-NUPNA,Yes
6691-CCIHA,No
1685-BQULA,No
9053-EJUNL,No
0666-UXTJO,No
1471-GIQKQ,No
4807-IZYOZ,No
1122-JWTJW,Yes
9710-NJERN,No
9837-FWLCH,No
1699-HPSBG,Yes
7203-OYKCT,No
1035-IPQPU,No
7398-LXGYX,No
2823-LKABH,No
8775-CEBBJ,Yes
0550-DCXLH,No
9281-CEDRU,No
2235-DWLJU,No
0871-OPBXW,No
3605-JISKB,No
6894-LFHLY,Yes
9767-FFLEM,No
0639-TSIQW,Yes
8456-QDAVC,No
7750-EYXWZ,No
2569-WGERO,No
6840-RESVB,No
2234-XADUH,No
4801-JZAZL,No
8361-LTMKD,Yes
3186-AJIEK,No
